Variant: ddpm
Loading data...
Data: 4094 cascades, train=3275, val=409, test=410, D_max=2
Ref lengths: mean=78.3, median=16
HPP rate: 50.0 events/unit-time
Model params: 851,879
Training...
[Step   100] loss=3.5927
[Step   200] loss=3.4164
[Step   300] loss=3.3878
[Step   400] loss=3.5656
[Step   500] loss=3.3012
[Step   600] loss=2.6734
[Step   700] loss=2.7596
[Step   800] loss=3.3820
[Step   900] loss=3.6471
[Step  1000] loss=3.5553
[Step  1100] loss=3.2215
[Step  1200] loss=4.4139
[Step  1300] loss=4.1437
[Step  1400] loss=3.8635
[Step  1500] loss=3.3968
[Step  1600] loss=3.3150
[Step  1700] loss=3.4231
[Step  1800] loss=3.0395
[Step  1900] loss=3.7359
[Step  2000] loss=3.2733
/gpfsnyu/home/gw2556/.conda/envs/T2S/lib/python3.10/site-packages/torch/nn/modules/transformer.py:408: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at ../aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(output, src_key_padding_mask.logical_not(), mask_check=False)
  [Eval] gen_mean=49.6 gen_median=49 ref_mean=78.3 W1=0.9573 ins=27 del=152 depth_dist=[9915/0/0]
[Step  2100] loss=3.7078
[Step  2200] loss=3.8981
[Step  2300] loss=3.5800
[Step  2400] loss=3.9210
[Step  2500] loss=3.6792
[Step  2600] loss=3.2471
[Step  2700] loss=3.3618
[Step  2800] loss=2.9832
[Step  2900] loss=3.2472
[Step  3000] loss=3.7110
[Step  3100] loss=3.9439
[Step  3200] loss=3.1115
[Step  3300] loss=3.6040
[Step  3400] loss=3.4281
[Step  3500] loss=3.6375
[Step  3600] loss=3.9480
[Step  3700] loss=3.7450
[Step  3800] loss=4.0694
[Step  3900] loss=3.1248
[Step  4000] loss=3.1480
  [Eval] gen_mean=49.8 gen_median=50 ref_mean=78.3 W1=0.9625 ins=25 del=116 depth_dist=[9956/0/0]
[Step  4100] loss=3.4986
[Step  4200] loss=3.8541
[Step  4300] loss=3.1919
[Step  4400] loss=3.8458
[Step  4500] loss=3.5303
[Step  4600] loss=3.9453
[Step  4700] loss=4.2710
[Step  4800] loss=3.7986
[Step  4900] loss=3.3457
[Step  5000] loss=3.6209
[Step  5100] loss=3.3041
[Step  5200] loss=3.0480
[Step  5300] loss=3.9993
[Step  5400] loss=3.3833
[Step  5500] loss=3.6041
[Step  5600] loss=3.7093
[Step  5700] loss=4.1756
[Step  5800] loss=3.9015
[Step  5900] loss=3.6432
[Step  6000] loss=3.3839
  [Eval] gen_mean=49.7 gen_median=50 ref_mean=78.3 W1=0.9627 ins=45 del=142 depth_dist=[9939/0/0]
[Step  6100] loss=3.3798
[Step  6200] loss=3.6487
[Step  6300] loss=3.8425
[Step  6400] loss=3.4857
[Step  6500] loss=3.6478
[Step  6600] loss=3.3345
[Step  6700] loss=2.9876
[Step  6800] loss=3.1867
[Step  6900] loss=3.2876
[Step  7000] loss=3.6067
[Step  7100] loss=3.2237
[Step  7200] loss=2.9698
[Step  7300] loss=3.0668
[Step  7400] loss=4.0376
[Step  7500] loss=3.6124
[Step  7600] loss=3.1137
[Step  7700] loss=2.9272
[Step  7800] loss=4.1570
[Step  7900] loss=3.2493
[Step  8000] loss=3.3300
  [Eval] gen_mean=49.7 gen_median=49 ref_mean=78.3 W1=0.9609 ins=29 del=132 depth_dist=[9933/0/0]
[Step  8100] loss=3.8327
[Step  8200] loss=3.1712
[Step  8300] loss=3.4900
[Step  8400] loss=3.7105
[Step  8500] loss=3.9461
[Step  8600] loss=3.2715
[Step  8700] loss=3.2656
[Step  8800] loss=2.8613
[Step  8900] loss=4.0332
[Step  9000] loss=3.3511
[Step  9100] loss=4.3797
[Step  9200] loss=4.0984
[Step  9300] loss=3.4339
[Step  9400] loss=3.1884
[Step  9500] loss=3.6906
[Step  9600] loss=3.0788
[Step  9700] loss=3.7111
[Step  9800] loss=3.2606
[Step  9900] loss=3.5992
[Step 10000] loss=3.3424
  [Eval] gen_mean=49.7 gen_median=49 ref_mean=78.3 W1=0.9630 ins=44 del=106 depth_dist=[9946/1/0]
[Step 10100] loss=3.4583
[Step 10200] loss=3.4550
[Step 10300] loss=3.3622
[Step 10400] loss=3.1022
[Step 10500] loss=3.0469
[Step 10600] loss=3.2900
[Step 10700] loss=3.6021
[Step 10800] loss=2.9970
[Step 10900] loss=3.3520
[Step 11000] loss=3.2384
[Step 11100] loss=3.0605
[Step 11200] loss=3.5571
[Step 11300] loss=3.0043
[Step 11400] loss=3.2427
[Step 11500] loss=4.1277
[Step 11600] loss=3.5183
[Step 11700] loss=3.9639
[Step 11800] loss=3.2519
[Step 11900] loss=2.9554
[Step 12000] loss=3.4663
  [Eval] gen_mean=49.1 gen_median=49 ref_mean=78.3 W1=0.9551 ins=45 del=95 depth_dist=[9820/1/0]
[Step 12100] loss=3.4918
[Step 12200] loss=2.9366
[Step 12300] loss=3.6054
[Step 12400] loss=3.7094
[Step 12500] loss=3.6003
[Step 12600] loss=3.6422
[Step 12700] loss=3.4485
[Step 12800] loss=3.0841
[Step 12900] loss=3.8628
[Step 13000] loss=3.4316
[Step 13100] loss=3.8565
[Step 13200] loss=3.7257
[Step 13300] loss=4.1007
[Step 13400] loss=3.7034
[Step 13500] loss=3.3804
[Step 13600] loss=3.4740
[Step 13700] loss=3.5036
[Step 13800] loss=4.0314
[Step 13900] loss=3.1394
[Step 14000] loss=3.4651
  [Eval] gen_mean=49.5 gen_median=50 ref_mean=78.3 W1=0.9592 ins=45 del=128 depth_dist=[9901/0/0]
[Step 14100] loss=3.2395
[Step 14200] loss=3.2493
[Step 14300] loss=3.5062
[Step 14400] loss=3.0963
[Step 14500] loss=3.2647
[Step 14600] loss=3.6108
[Step 14700] loss=3.6654
[Step 14800] loss=3.2215
[Step 14900] loss=3.7714
[Step 15000] loss=3.1414
[Step 15100] loss=3.7018
[Step 15200] loss=3.2813
[Step 15300] loss=3.0344
[Step 15400] loss=3.3055
[Step 15500] loss=3.9387
[Step 15600] loss=3.0669
[Step 15700] loss=3.6089
[Step 15800] loss=2.7711
[Step 15900] loss=3.2836
[Step 16000] loss=3.4242
  [Eval] gen_mean=49.8 gen_median=49 ref_mean=78.3 W1=0.9548 ins=43 del=103 depth_dist=[9950/3/0]
[Step 16100] loss=3.5262
[Step 16200] loss=3.4114
[Step 16300] loss=3.3664
[Step 16400] loss=3.0842
[Step 16500] loss=3.9092
[Step 16600] loss=3.1065
[Step 16700] loss=3.8694
[Step 16800] loss=3.6452
[Step 16900] loss=3.3883
[Step 17000] loss=3.4213
[Step 17100] loss=3.8523
[Step 17200] loss=3.1039
[Step 17300] loss=3.3844
[Step 17400] loss=3.6255
[Step 17500] loss=3.0811
[Step 17600] loss=3.1945
[Step 17700] loss=3.4842
[Step 17800] loss=3.3711
[Step 17900] loss=4.1456
[Step 18000] loss=3.3099
  [Eval] gen_mean=50.1 gen_median=50 ref_mean=78.3 W1=0.9612 ins=36 del=86 depth_dist=[10014/1/0]
[Step 18100] loss=3.9825
[Step 18200] loss=3.3528
[Step 18300] loss=3.2964
[Step 18400] loss=3.5669
[Step 18500] loss=3.2174
[Step 18600] loss=4.3400
[Step 18700] loss=3.4563
[Step 18800] loss=3.1514
[Step 18900] loss=3.3941
[Step 19000] loss=3.5097
[Step 19100] loss=3.0004
[Step 19200] loss=3.7818
[Step 19300] loss=3.3807
[Step 19400] loss=3.3413
[Step 19500] loss=2.4722
[Step 19600] loss=3.2142
[Step 19700] loss=3.6085
[Step 19800] loss=3.6022
[Step 19900] loss=3.9894
[Step 20000] loss=3.7044
  [Eval] gen_mean=49.0 gen_median=49 ref_mean=78.3 W1=0.9484 ins=54 del=88 depth_dist=[9803/1/0]
[Step 20100] loss=3.7203
[Step 20200] loss=4.0509
[Step 20300] loss=3.7126
[Step 20400] loss=3.5478
[Step 20500] loss=3.2739
[Step 20600] loss=3.3311
[Step 20700] loss=3.4838
[Step 20800] loss=4.0310
[Step 20900] loss=3.7410
[Step 21000] loss=3.4357
[Step 21100] loss=4.3318
[Step 21200] loss=2.9771
[Step 21300] loss=3.3803
[Step 21400] loss=3.3247
[Step 21500] loss=3.1020
[Step 21600] loss=3.2033
[Step 21700] loss=3.4501
[Step 21800] loss=3.2258
[Step 21900] loss=3.7626
[Step 22000] loss=3.7384
