Variant: flat
Loading data...
Data: 4094 cascades, train=3275, val=409, test=410, D_max=2
Ref lengths: mean=78.3, median=16
Model params: 851,557
Training...
[Step   100] loss=322.9612
[Step   200] loss=267.3516
[Step   300] loss=366.4208
[Step   400] loss=365.4579
[Step   500] loss=299.8412
[Step   600] loss=174.1384
[Step   700] loss=473.5040
[Step   800] loss=237.6541
[Step   900] loss=217.9376
[Step  1000] loss=282.1165
[Step  1100] loss=310.2169
[Step  1200] loss=344.4080
[Step  1300] loss=251.6181
[Step  1400] loss=413.6482
[Step  1500] loss=259.9136
[Step  1600] loss=418.7244
[Step  1700] loss=195.6001
[Step  1800] loss=287.6173
[Step  1900] loss=350.9393
[Step  2000] loss=286.0390
/gpfsnyu/home/gw2556/.conda/envs/T2S/lib/python3.10/site-packages/torch/nn/modules/transformer.py:408: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at ../aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(output, src_key_padding_mask.logical_not(), mask_check=False)
  [Eval] gen_mean=70.9 gen_median=26 ref_mean=78.3 W1=0.2406 ins=11706 del=12181 depth_dist=[14179]
[Step  2100] loss=369.6191
[Step  2200] loss=355.3745
[Step  2300] loss=236.2358
[Step  2400] loss=421.2768
[Step  2500] loss=234.4918
[Step  2600] loss=268.9863
[Step  2700] loss=277.1565
[Step  2800] loss=376.6580
[Step  2900] loss=335.6959
[Step  3000] loss=335.1581
[Step  3100] loss=279.8161
[Step  3200] loss=539.1496
[Step  3300] loss=228.0352
[Step  3400] loss=230.7061
[Step  3500] loss=304.8109
[Step  3600] loss=170.6528
[Step  3700] loss=208.8046
[Step  3800] loss=311.4614
[Step  3900] loss=198.1671
[Step  4000] loss=184.8635
  [Eval] gen_mean=87.3 gen_median=32 ref_mean=78.3 W1=0.2323 ins=16651 del=11058 depth_dist=[17466]
[Step  4100] loss=214.7880
[Step  4200] loss=262.5070
[Step  4300] loss=241.9904
[Step  4400] loss=272.1656
[Step  4500] loss=266.3356
[Step  4600] loss=251.0628
[Step  4700] loss=373.8209
[Step  4800] loss=247.4735
[Step  4900] loss=338.6582
[Step  5000] loss=273.7160
