Variant: full
Loading data...
Data: 4094 cascades, train=3275, val=409, test=410, D_max=2
Ref lengths: mean=78.3, median=16
Model params: 851,879
Training...
[Step   100] loss=308.5482
[Step   200] loss=305.1699
[Step   300] loss=260.6468
[Step   400] loss=244.8867
[Step   500] loss=69.2992
[Step   600] loss=250.2388
[Step   700] loss=272.1703
[Step   800] loss=191.5425
[Step   900] loss=228.0373
[Step  1000] loss=295.4192
[Step  1100] loss=216.0282
[Step  1200] loss=364.2310
[Step  1300] loss=262.0873
[Step  1400] loss=248.6602
[Step  1500] loss=153.0396
[Step  1600] loss=206.9701
[Step  1700] loss=222.5468
[Step  1800] loss=304.4035
[Step  1900] loss=184.7980
[Step  2000] loss=210.0666
/gpfsnyu/home/gw2556/.conda/envs/T2S/lib/python3.10/site-packages/torch/nn/modules/transformer.py:408: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at ../aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(output, src_key_padding_mask.logical_not(), mask_check=False)
  [Eval] gen_mean=135.5 gen_median=34 ref_mean=78.3 W1=0.7312 ins=27523 del=15083 depth_dist=[64/26242/788]
[Step  2100] loss=342.1306
[Step  2200] loss=348.4745
[Step  2300] loss=168.4222
[Step  2400] loss=304.7577
[Step  2500] loss=419.2890
[Step  2600] loss=179.0420
[Step  2700] loss=359.9938
[Step  2800] loss=199.0202
[Step  2900] loss=182.2120
[Step  3000] loss=190.2287
[Step  3100] loss=252.0378
[Step  3200] loss=330.3295
[Step  3300] loss=388.0772
[Step  3400] loss=161.1813
[Step  3500] loss=232.0126
[Step  3600] loss=170.3635
[Step  3700] loss=234.1312
[Step  3800] loss=205.3676
[Step  3900] loss=144.3727
[Step  4000] loss=317.8430
  [Eval] gen_mean=57.1 gen_median=15 ref_mean=78.3 W1=0.2966 ins=11444 del=13928 depth_dist=[44/8224/3147]
[Step  4100] loss=200.9900
[Step  4200] loss=299.2247
[Step  4300] loss=288.6379
[Step  4400] loss=201.8742
[Step  4500] loss=173.2511
[Step  4600] loss=315.1910
[Step  4700] loss=304.0367
[Step  4800] loss=279.8860
[Step  4900] loss=317.6501
[Step  5000] loss=262.2522
[Step  5100] loss=206.5160
[Step  5200] loss=257.1442
[Step  5300] loss=207.4629
[Step  5400] loss=235.2050
[Step  5500] loss=265.0448
[Step  5600] loss=221.8042
[Step  5700] loss=389.7903
[Step  5800] loss=230.9731
[Step  5900] loss=142.6445
[Step  6000] loss=226.5093
  [Eval] gen_mean=106.0 gen_median=16 ref_mean=78.3 W1=0.3708 ins=21418 del=12122 depth_dist=[70/20280/849]
[Step  6100] loss=168.2283
[Step  6200] loss=285.9059
[Step  6300] loss=162.4617
[Step  6400] loss=186.8350
[Step  6500] loss=245.1014
[Step  6600] loss=292.0699
[Step  6700] loss=202.5445
[Step  6800] loss=339.3980
[Step  6900] loss=213.9108
[Step  7000] loss=269.5698
[Step  7100] loss=259.5700
[Step  7200] loss=237.4177
[Step  7300] loss=262.5330
[Step  7400] loss=270.5069
[Step  7500] loss=265.5045
[Step  7600] loss=248.2685
[Step  7700] loss=156.4185
[Step  7800] loss=244.0548
[Step  7900] loss=154.7093
[Step  8000] loss=178.7885
  [Eval] gen_mean=125.7 gen_median=16 ref_mean=78.3 W1=0.6108 ins=25516 del=18194 depth_dist=[61/23260/1813]
[Step  8100] loss=319.0033
[Step  8200] loss=244.0749
[Step  8300] loss=217.0552
[Step  8400] loss=239.8392
[Step  8500] loss=299.1313
[Step  8600] loss=173.4742
[Step  8700] loss=232.1772
[Step  8800] loss=364.4348
[Step  8900] loss=244.5114
[Step  9000] loss=206.9916
[Step  9100] loss=288.8371
[Step  9200] loss=294.3272
[Step  9300] loss=205.5180
[Step  9400] loss=253.7483
[Step  9500] loss=278.5871
[Step  9600] loss=258.8379
[Step  9700] loss=253.8237
[Step  9800] loss=338.3242
[Step  9900] loss=216.1592
[Step 10000] loss=242.9597
  [Eval] gen_mean=109.8 gen_median=15 ref_mean=78.3 W1=0.4239 ins=22096 del=13365 depth_dist=[94/20342/1518]
[Step 10100] loss=365.2310
[Step 10200] loss=188.7735
[Step 10300] loss=250.8177
[Step 10400] loss=164.1294
[Step 10500] loss=215.4289
[Step 10600] loss=166.8854
[Step 10700] loss=164.2105
[Step 10800] loss=227.4309
[Step 10900] loss=232.0592
[Step 11000] loss=212.1176
[Step 11100] loss=200.3936
[Step 11200] loss=303.3279
[Step 11300] loss=147.0754
[Step 11400] loss=139.4634
[Step 11500] loss=166.8282
[Step 11600] loss=305.8301
[Step 11700] loss=375.0898
[Step 11800] loss=226.3455
[Step 11900] loss=234.6558
[Step 12000] loss=231.1947
  [Eval] gen_mean=123.7 gen_median=20 ref_mean=78.3 W1=0.5814 ins=24747 del=15312 depth_dist=[91/23411/1246]
[Step 12100] loss=358.3003
[Step 12200] loss=210.5686
[Step 12300] loss=306.2813
[Step 12400] loss=324.9688
[Step 12500] loss=208.4668
[Step 12600] loss=327.4872
[Step 12700] loss=252.6342
[Step 12800] loss=260.6046
[Step 12900] loss=253.3011
[Step 13000] loss=240.9409
[Step 13100] loss=296.7581
[Step 13200] loss=346.5228
[Step 13300] loss=236.0285
[Step 13400] loss=441.1761
[Step 13500] loss=176.0899
[Step 13600] loss=308.4128
[Step 13700] loss=246.7702
[Step 13800] loss=33.2497
[Step 13900] loss=204.8896
[Step 14000] loss=248.8720
  [Eval] gen_mean=84.2 gen_median=12 ref_mean=78.3 W1=0.1823 ins=17056 del=16700 depth_dist=[64/15402/1375]
[Step 14100] loss=139.4677
[Step 14200] loss=181.4228
[Step 14300] loss=245.0957
[Step 14400] loss=292.4690
[Step 14500] loss=156.5165
[Step 14600] loss=293.5155
[Step 14700] loss=301.1418
[Step 14800] loss=205.3452
[Step 14900] loss=222.0746
[Step 15000] loss=235.3246
[Step 15100] loss=391.7131
[Step 15200] loss=236.2543
[Step 15300] loss=245.6729
[Step 15400] loss=396.7327
[Step 15500] loss=309.1291
[Step 15600] loss=300.9785
[Step 15700] loss=249.3816
[Step 15800] loss=248.6764
[Step 15900] loss=256.7644
[Step 16000] loss=251.2529
  [Eval] gen_mean=88.7 gen_median=28 ref_mean=78.3 W1=0.2745 ins=17882 del=15698 depth_dist=[81/16454/1195]
[Step 16100] loss=373.2476
[Step 16200] loss=274.8695
[Step 16300] loss=245.9766
[Step 16400] loss=203.0463
[Step 16500] loss=270.2066
[Step 16600] loss=262.1679
[Step 16700] loss=282.5500
[Step 16800] loss=250.5174
[Step 16900] loss=290.9598
[Step 17000] loss=141.3229
[Step 17100] loss=266.9429
[Step 17200] loss=303.3781
[Step 17300] loss=323.1074
[Step 17400] loss=295.6765
[Step 17500] loss=357.8942
[Step 17600] loss=351.3956
[Step 17700] loss=194.9551
[Step 17800] loss=267.8990
[Step 17900] loss=199.7830
[Step 18000] loss=180.1136
  [Eval] gen_mean=94.5 gen_median=17 ref_mean=78.3 W1=0.2308 ins=19035 del=16841 depth_dist=[99/16870/1927]
[Step 18100] loss=231.8803
[Step 18200] loss=324.0579
[Step 18300] loss=332.3523
[Step 18400] loss=286.4536
[Step 18500] loss=305.4196
[Step 18600] loss=241.2910
[Step 18700] loss=233.3493
[Step 18800] loss=274.6156
[Step 18900] loss=257.3688
[Step 19000] loss=345.7026
[Step 19100] loss=300.5655
[Step 19200] loss=269.3848
[Step 19300] loss=231.1396
[Step 19400] loss=300.6990
[Step 19500] loss=265.1106
[Step 19600] loss=277.1192
[Step 19700] loss=304.7719
[Step 19800] loss=272.6736
[Step 19900] loss=222.0553
[Step 20000] loss=224.0464
  [Eval] gen_mean=112.7 gen_median=17 ref_mean=78.3 W1=0.4555 ins=23001 del=18257 depth_dist=[80/21589/875]
[Step 20100] loss=171.9075
[Step 20200] loss=184.1670
[Step 20300] loss=356.8242
[Step 20400] loss=335.2633
[Step 20500] loss=168.6636
[Step 20600] loss=205.2495
[Step 20700] loss=178.9330
[Step 20800] loss=213.6439
[Step 20900] loss=283.7212
[Step 21000] loss=142.7518
[Step 21100] loss=268.3653
[Step 21200] loss=379.8243
[Step 21300] loss=238.3343
[Step 21400] loss=336.1084
[Step 21500] loss=222.3748
[Step 21600] loss=179.5548
[Step 21700] loss=208.0306
[Step 21800] loss=318.5958
[Step 21900] loss=293.3560
[Step 22000] loss=352.8808
  [Eval] gen_mean=73.8 gen_median=13 ref_mean=78.3 W1=0.1914 ins=14985 del=17125 depth_dist=[77/13033/1658]
[Step 22100] loss=233.9981
[Step 22200] loss=265.9842
[Step 22300] loss=320.9555
[Step 22400] loss=174.0752
[Step 22500] loss=133.4988
[Step 22600] loss=254.6496
[Step 22700] loss=245.9009
[Step 22800] loss=189.8861
[Step 22900] loss=271.0783
[Step 23000] loss=181.6291
[Step 23100] loss=168.8225
[Step 23200] loss=243.5964
[Step 23300] loss=371.0262
[Step 23400] loss=181.1458
[Step 23500] loss=266.9155
[Step 23600] loss=450.6096
[Step 23700] loss=245.7626
[Step 23800] loss=281.8841
[Step 23900] loss=327.2143
[Step 24000] loss=192.8004
  [Eval] gen_mean=73.3 gen_median=15 ref_mean=78.3 W1=0.1817 ins=14853 del=15552 depth_dist=[80/12936/1637]
[Step 24100] loss=239.9097
[Step 24200] loss=264.5154
[Step 24300] loss=188.3798
[Step 24400] loss=298.2534
[Step 24500] loss=310.9001
[Step 24600] loss=206.4902
